#=10080
$FirstDateTime=20.07.2020 00:00:00
$JSDBaseDateTime=27.03.1995 00:00:00
$FirstJSD=798940800
$TimeLagSec=60
$DefaultValue=99999
$Names=DATE;TIME;WXTSDQ107;WXTDL107;WXTDIR107;WXTDR107;WXTMNV107;WXTVEL107;WXTMXV107;WXTT107;WXTTI107;WXTRH107;WXTP107;WXTR107;WXTRDS107;WXTRDH107;WXTRI107;WXTMXRI107;WXTRP107;WXTH107;WXTHDS107;WXTHDH107;WXTHI107;WXTMXHI107;WXTHP107;WXTTH107;WXTVH107;WXTVS107;WXTVR107;WXTTR107;WXTRA107;WXTSL107;WXTRT107;WXTSR107;WXTDT107;WXTAH107;WXTRK107;WXTRDHK107;WXTHDHK107;WXTPN107
20.07.2020;00:00;100;328;338;373;1.8;2.24;2.8;18;18.4;71.7;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.81;10.99;0;0;0;1002.9
20.07.2020;00:01;100;316;329.3;340;2.3;2.59;2.8;18;18.4;71.8;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.2;24;24.4;3.534;;0;;;;12.83;11;0;0;0;1002.9
20.07.2020;00:02;100;325;328.2;333;2.4;2.84;3.1;18;18.4;71.9;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.2;24;24.4;3.532;;0;;;;12.85;11.02;0;0;0;1002.9
20.07.2020;00:03;100;277;321.9;345;0.8;1.42;2.1;18;18.31;72;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.2;24;24.4;3.532;;0;;;;12.87;11.04;0;0;0;1002.9
20.07.2020;00:04;100;265;321.7;349;1.4;1.68;2;18;18.3;72.1;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.9;11.05;0;0;0;1002.9
20.07.2020;00:05;100;261;326.4;369;0.3;1.3;1.9;17.9;18.3;72.2;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.532;;0;;;;12.82;11;0;0;0;1002.9
20.07.2020;00:06;100;304;324.6;339;1.9;2.74;3.3;17.9;18.3;72.3;1002.84;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.532;;0;;;;12.84;11.02;0;0;0;1002.84
20.07.2020;00:07;100;-48;3.7;90;0.8;1.11;1.8;17.9;18.3;72.3;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.84;11.02;0;0;0;1002.8
20.07.2020;00:08;100;314;339.8;379;1.1;1.44;1.9;17.9;18.3;72.3;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.84;11.02;0;0;0;1002.8
20.07.2020;00:09;100;288;332.1;350;1.3;1.56;1.7;17.9;18.26;72.4;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.7;24;24.4;3.532;;0;;;;12.86;11.03;0;0;0;1002.8
20.07.2020;00:10;100;328;332.5;336;2.2;2.5;2.8;17.9;18.24;72.4;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.2;24;24.4;3.534;;0;;;;12.86;11.03;0;0;0;1002.8
20.07.2020;00:11;100;306;324.6;364;1.3;1.89;2.3;17.9;18.2;72.6;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.9;11.06;0;0;0;1002.8
20.07.2020;00:12;100;318;331.1;343;2.2;2.28;2.6;17.88;18.2;72.6;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.6;24;24.4;3.532;;0;;;;12.89;11.05;0;0;0;1002.8
20.07.2020;00:13;100;307;355.3;388;1.1;1.46;1.6;17.8;18.2;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:14;100;285;326.6;359;0.7;1.26;2;17.8;18.2;72.8;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.532;;0;;;;12.85;11.03;0;0;0;1002.8
20.07.2020;00:15;100;-75;25;152;0.6;1.1;1.5;17.8;18.2;72.8;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.85;11.03;0;0;0;1002.8
20.07.2020;00:16;100;148;253.9;347;0.4;1.04;1.3;17.8;18.2;72.8;1002.78;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.535;;0;;;;12.85;11.03;0;0;0;1002.78
20.07.2020;00:17;100;-76;27.6;-151;0.7;1.48;2;17.8;18.2;72.9;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.87;11.04;0;0;0;1002.8
20.07.2020;00:18;100;215;353.3;304;0.8;1.1;1.4;17.8;18.2;72.9;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.87;11.04;0;0;0;1002.8
20.07.2020;00:19;100;286;343.4;390;0.8;1.33;1.7;17.8;18.11;72.9;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.87;11.04;0;0;0;1002.8
20.07.2020;00:20;100;191;16.8;86;0.6;1.2;1.7;17.8;18.1;73;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.532;;0;;;;12.89;11.06;0;0;0;1002.8
20.07.2020;00:21;100;-119;24.7;97;0.7;1.25;1.6;17.8;18.1;72.8;1002.79;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.85;11.03;0;0;0;1002.79
20.07.2020;00:22;100;238;226.4;376;0.7;1.43;2.2;17.8;18.1;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.532;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:23;100;286;332.3;415;0.8;1.45;2.5;17.8;18.1;72.8;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.53;;0;;;;12.85;11.03;0;0;0;1002.8
20.07.2020;00:24;100;320;334.1;362;1.2;1.89;2.3;17.8;18.1;72.8;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.85;11.03;0;0;0;1002.8
20.07.2020;00:25;100;7;131;255;0.7;0.95;1.4;17.8;18.1;72.9;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.535;;0;;;;12.87;11.04;0;0;0;1002.8
20.07.2020;00:26;100;26;19.1;-153;0.6;0.92;1.4;17.8;18.1;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:27;100;204;291.5;340;0.7;0.94;1.2;17.8;18.1;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.7;24;24.4;3.536;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:28;100;219;282.2;351;0.5;0.92;1.6;17.8;18.1;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:29;100;98;189.8;162;0.5;0.97;1.5;17.8;18.1;72.6;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.81;11;0;0;0;1002.8
20.07.2020;00:30;100;258;323.4;430;0.9;1.28;2.2;17.8;18.1;72.7;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.7;24;24.4;3.534;;0;;;;12.83;11.01;0;0;0;1002.8
20.07.2020;00:31;100;274;322.6;376;0.9;1.43;1.9;17.8;18.1;72.8;1002.81;0;0;0;0;0;79.1;0;0;0;0;0;0;16.7;24;24.4;3.534;;0;;;;12.85;11.03;0;0;0;1002.81
20.07.2020;00:32;100;229;306.7;354;1.1;1.46;1.9;17.71;18.1;73;1002.8;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.532;;0;;;;12.81;11;0;0;0;1002.8
20.07.2020;00:33;100;269;323;395;0.4;1.03;1.9;17.7;18.1;73.1;1002.82;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.82;11.01;0;0;0;1002.82
20.07.2020;00:34;100;268;319;355;1;1.66;2.1;17.7;18.1;73.1;1002.81;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.82;11.01;0;0;0;1002.81
20.07.2020;00:35;100;200;285.2;381;0.3;0.65;1.1;17.7;18.02;73.3;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;16.9;24;24.4;3.534;;0;;;;12.86;11.04;0;0;0;1002.9
20.07.2020;00:36;100;322;338.3;364;1.5;2.23;3;17.7;18;73.4;1002.9;0;0;0;0;0;79.1;0;0;0;0;0;0;17.1;24;24.4;3.534;;0;;;;12.88;11.05;0;0;0;1002.9
