;cosmo_data;apollo_data
2020-06-03 08:00:00;20.019600000000025;
2020-06-03 09:00:00;20.90492999999998;
2020-06-03 10:00:00;22.480680000000007;
2020-06-03 11:00:00;23.21700000000004;
2020-06-03 12:00:00;24.026900000000012;
2020-06-03 13:00:00;24.727800000000002;
2020-06-03 14:00:00;24.954860000000053;
2020-06-03 15:00:00;21.28997000000004;
2020-06-03 16:00:00;20.196529999999996;
2020-06-03 17:00:00;19.459040000000016;
2020-06-03 18:00:00;18.198570000000018;
2020-06-03 19:00:00;17.15844000000004;
2020-06-03 20:00:00;16.601920000000064;
2020-06-03 21:00:00;16.012200000000007;
2020-06-03 22:00:00;15.437070000000062;
2020-06-03 23:00:00;15.161920000000066;
2020-06-04 00:00:00;14.87026000000003;
2020-06-04 01:00:00;14.339500000000044;
2020-06-04 02:00:00;13.837300000000027;
2020-06-04 03:00:00;13.94326000000001;
2020-06-04 04:00:00;13.756340000000023;
2020-06-04 05:00:00;14.407800000000009;
2020-06-04 06:00:00;14.380700000000047;
2020-06-04 07:00:00;15.583700000000022;
2020-06-04 08:00:00;16.427579999999978;
2020-06-04 09:00:00;17.50157999999999;
2020-06-04 10:00:00;16.65014000000002;
2020-06-04 11:00:00;16.099360000000047;
2020-06-04 12:00:00;16.93987000000004;
2020-06-04 13:00:00;16.182729999999992;
2020-06-04 14:00:00;16.1173;
2020-06-04 15:00:00;17.094780000000014;
2020-06-04 16:00:00;17.09316000000001;
2020-06-04 17:00:00;14.792779999999993;
2020-06-04 18:00:00;14.229150000000004;
2020-06-04 19:00:00;13.008170000000064;
2020-06-04 20:00:00;12.259970000000067;
2020-06-04 21:00:00;11.781949999999995;
2020-06-04 22:00:00;11.567350000000033;
2020-06-04 23:00:00;11.248320000000035;
2020-06-05 00:00:00;10.854700000000037;
2020-06-05 01:00:00;10.369620000000054;
2020-06-05 02:00:00;10.106470000000058;
2020-06-05 03:00:00;9.756160000000023;
2020-06-05 04:00:00;9.767660000000035;
2020-06-05 05:00:00;10.019530000000032;
2020-06-05 06:00:00;10.436360000000036;
2020-06-05 07:00:00;11.412930000000017;
2020-06-05 08:00:00;12.247700000000009;
2020-06-05 09:00:00;13.226950000000045;
2020-06-05 10:00:00;14.142479999999978;
2020-06-05 11:00:00;15.165220000000033;
2020-06-05 12:00:00;16.571439999999996;
2020-06-05 13:00:00;17.191460000000006;
2020-06-05 14:00:00;17.125879999999995;
2020-06-05 15:00:00;16.183600000000013;
2020-06-05 16:00:00;12.21697000000006;
2020-06-05 17:00:00;12.708600000000047;
2020-06-05 18:00:00;11.380980000000022;
2020-06-05 19:00:00;10.960080000000005;
2020-06-05 20:00:00;10.954300000000046;
2020-06-05 21:00:00;10.001000000000033;
2020-06-05 22:00:00;9.014860000000056;
2020-06-05 23:00:00;8.652300000000025;
2020-06-06 00:00:00;7.68572000000006;
2020-06-06 01:00:00;7.483400000000017;
2020-06-06 02:00:00;7.338400000000036;
2020-06-06 03:00:00;6.826900000000023;
2020-06-06 04:00:00;7.160760000000039;
2020-06-06 05:00:00;8.197170000000028;
2020-06-06 06:00:00;8.785730000000001;
2020-06-06 07:00:00;10.244000000000028;
2020-06-06 08:00:00;11.956870000000038;
2020-06-06 09:00:00;13.631650000000036;
2020-06-06 10:00:00;15.2072;
2020-06-06 11:00:00;16.62435000000005;
2020-06-06 12:00:00;16.512229999999988;
2020-06-06 13:00:00;16.185479999999984;
2020-06-06 14:00:00;16.434379999999976;
2020-06-06 15:00:00;15.051539999999989;
2020-06-06 16:00:00;15.003930000000025;
2020-06-06 17:00:00;13.651760000000024;
2020-06-06 18:00:00;13.51177000000007;
2020-06-06 19:00:00;12.729179999999985;
2020-06-06 20:00:00;12.20568000000003;
2020-06-06 21:00:00;11.34523999999999;
2020-06-06 22:00:00;11.260860000000037;
2020-06-06 23:00:00;11.082570000000032;
2020-06-07 00:00:00;9.95900000000006;
2020-06-07 01:00:00;9.71276000000006;
2020-06-07 02:00:00;9.65798000000001;
2020-06-07 03:00:00;9.15157000000005;
2020-06-07 04:00:00;8.922020000000032;
2020-06-07 05:00:00;9.61710000000005;
2020-06-07 06:00:00;11.076800000000048;
2020-06-07 07:00:00;13.225900000000024;
2020-06-07 08:00:00;13.766840000000002;
2020-06-07 09:00:00;13.628930000000025;
2020-06-07 10:00:00;14.691280000000006;
2020-06-07 11:00:00;15.018799999999999;
2020-06-07 12:00:00;14.529229999999984;
2020-06-07 13:00:00;17.724900000000048;
2020-06-07 14:00:00;18.01302000000004;
2020-06-07 15:00:00;17.62423000000001;
2020-06-07 16:00:00;16.318750000000023;
2020-06-07 17:00:00;16.00305000000003;
2020-06-07 18:00:00;15.033380000000022;
2020-06-07 19:00:00;13.312279999999987;
2020-06-07 20:00:00;11.875570000000039;
2020-06-07 21:00:00;12.022420000000068;
2020-06-07 22:00:00;11.264400000000023;
2020-06-07 23:00:00;10.860650000000021;
2020-06-08 00:00:00;10.810080000000028;
2020-06-08 01:00:00;10.09740000000005;
2020-06-08 02:00:00;9.979179999999985;
2020-06-08 03:00:00;10.399100000000033;
2020-06-08 04:00:00;10.637350000000026;
2020-06-08 05:00:00;11.54305000000005;
2020-06-08 06:00:00;12.376030000000014;
2020-06-08 07:00:00;13.73388;
2020-06-08 08:00:00;14.786550000000034;
2020-06-08 09:00:00;15.080930000000023;
2020-06-08 10:00:00;15.519920000000013;
2020-06-08 11:00:00;16.075429999999983;
2020-06-08 12:00:00;17.637200000000007;
2020-06-08 13:00:00;18.671960000000013;
2020-06-08 14:00:00;18.534539999999993;
