;cosmo_data;apollo_data
2020-06-08 10:00:00;15.317100000000039;
2020-06-08 11:00:00;16.656270000000063;18.948766323978983
2020-06-08 12:00:00;17.4307;18.012727777777826
2020-06-08 13:00:00;17.69888000000003;18.04385277777749
2020-06-08 14:00:00;17.794520000000034;16.89429841622672
2020-06-08 15:00:00;16.66216000000003;15.710764738598266
2020-06-08 16:00:00;16.5933;16.784672222222255
2020-06-08 17:00:00;15.497900000000016;15.567594444444175
2020-06-08 18:00:00;14.29806000000002;14.644918032786524
2020-06-08 19:00:00;13.768579999999986;14.529744373436884
2020-06-08 20:00:00;13.315400000000011;14.146947222221993
2020-06-08 21:00:00;12.36202000000003;12.884280555555492
2020-06-08 22:00:00;11.09304000000003;12.072675000000013
2020-06-08 23:00:00;10.551870000000065;11.74947222222209
2020-06-09 00:00:00;9.45123000000001;11.088516666666367
2020-06-09 01:00:00;9.581900000000019;10.889802777777767
2020-06-09 02:00:00;9.024320000000046;10.468900000000213
2020-06-09 03:00:00;7.9614500000000135;9.885444444444056
2020-06-09 04:00:00;7.855430000000013;10.062574999999828
2020-06-09 05:00:00;8.928250000000048;11.38760555555562
2020-06-09 06:00:00;10.286860000000047;12.70143055555549
2020-06-09 07:00:00;12.058339999999987;15.256055555555287
2020-06-09 08:00:00;13.741200000000049;16.571763888888878
2020-06-09 09:00:00;15.65264000000002;17.399077777777812
2020-06-09 10:00:00;16.56378000000001;17.511772714642866
2020-06-09 11:00:00;17.425839999999994;17.07789722222202
2020-06-09 12:00:00;17.801840000000027;19.31513896609199
2020-06-09 13:00:00;17.74612000000002;19.393747222221908
2020-06-09 14:00:00;17.797300000000007;19.74218888888889
2020-06-09 15:00:00;18.260000000000048;18.38338888888867
2020-06-09 16:00:00;17.25150000000002;18.538472222222012
2020-06-09 17:00:00;16.16700000000003;17.764463888887953
2020-06-09 18:00:00;15.308950000000038;17.348813888887893
2020-06-09 19:00:00;14.155150000000049;16.243824999999006
2020-06-09 20:00:00;13.464139999999986;15.325948874686565
2020-06-09 21:00:00;13.085930000000019;14.598894444443474
2020-06-09 22:00:00;12.647850000000005;13.745124999998962
2020-06-09 23:00:00;12.362099999999998;12.9765712697963
2020-06-10 00:00:00;12.01275000000004;12.318869444443418
2020-06-10 01:00:00;11.759180000000015;11.581780555554724
2020-06-10 02:00:00;11.511300000000006;11.087566666665928
2020-06-10 03:00:00;11.574200000000019;11.25143928869066
2020-06-10 04:00:00;11.525570000000016;12.166230555554561
2020-06-10 05:00:00;12.289879999999982;13.397966101693948
2020-06-10 06:00:00;12.88217000000003;15.38172270074929
2020-06-10 07:00:00;13.945280000000025;15.933242567378823
2020-06-10 08:00:00;14.706079999999986;18.044347222221447
2020-06-10 09:00:00;16.372520000000065;18.30339999999929
2020-06-10 10:00:00;17.31982000000005;18.8814365101408
2020-06-10 11:00:00;18.58352000000002;20.593444444443904
2020-06-10 12:00:00;18.880640000000028;21.84025562656205
2020-06-10 13:00:00;19.35644000000002;21.310477777776967
2020-06-10 14:00:00;19.47210000000001;20.848988888888226
2020-06-10 15:00:00;19.284629999999993;20.240741666666214
2020-06-10 16:00:00;18.392479999999978;19.812111111110845
2020-06-10 17:00:00;17.266800000000046;18.841330555554823
2020-06-10 18:00:00;16.398950000000013;17.721044444443066
2020-06-10 19:00:00;15.393120000000067;16.833347222220837
2020-06-10 20:00:00;14.656150000000025;16.2150722222207
2020-06-10 21:00:00;14.550380000000018;15.770519444442739
2020-06-10 22:00:00;14.254200000000026;14.974638888887448
2020-06-10 23:00:00;13.867880000000014;15.04915555555394
2020-06-11 00:00:00;13.627770000000055;14.730522222220573
2020-06-11 01:00:00;13.407800000000009;14.574327777776313
2020-06-11 02:00:00;13.269070000000056;14.571194444442904
2020-06-11 03:00:00;13.171840000000032;14.230469444442596
2020-06-11 04:00:00;13.384500000000003;14.023499999998426
2020-06-11 05:00:00;13.367120000000057;14.067569444441848
2020-06-11 06:00:00;12.917079999999999;14.13149208113093
2020-06-11 07:00:00;14.329600000000028;14.335466666664686
2020-06-11 08:00:00;14.020620000000065;14.634069444442833
2020-06-11 09:00:00;12.680499999999995;14.889497222220992
2020-06-11 10:00:00;13.685600000000022;15.089135871073827
2020-06-11 11:00:00;14.745570000000043;15.58426111110944
2020-06-11 12:00:00;14.26320000000004;15.304011111109814
2020-06-11 13:00:00;15.095270000000028;16.32285833333172
2020-06-11 14:00:00;14.748320000000035;17.004585227271033
2020-06-11 15:00:00;15.641500000000008;17.25717222222061
2020-06-11 16:00:00;15.826620000000048;17.631266666664953
2020-06-11 17:00:00;15.196620000000053;18.128377777776308
2020-06-11 18:00:00;15.521400000000028;17.598158333331682
2020-06-11 19:00:00;14.984770000000026;16.916819444442886
2020-06-11 20:00:00;14.497670000000028;15.880536111109553
2020-06-11 21:00:00;14.309470000000033;15.168699999998402
2020-06-11 22:00:00;14.369700000000023;14.821711111109268
2020-06-11 23:00:00;14.161900000000003;14.784016666664856
2020-06-12 00:00:00;13.725030000000004;14.668852777776127
2020-06-12 01:00:00;13.812900000000013;14.161294444442296
2020-06-12 02:00:00;13.61687999999998;14.105805555552372
2020-06-12 03:00:00;13.676870000000065;14.106036111108013
2020-06-12 04:00:00;13.787440000000004;14.268747222220602
2020-06-12 05:00:00;14.217739999999992;14.636248958042223
2020-06-12 06:00:00;14.829860000000053;15.550544444442814
2020-06-12 07:00:00;15.76830000000001;16.766549999998492
2020-06-12 08:00:00;16.795500000000004;16.878330555554125
2020-06-12 09:00:00;17.603850000000023;16.991843670346967
