DTIME;TT
2020-06-08 01:00:00;
2020-06-08 02:00:00;
2020-06-08 03:00:00;
2020-06-08 04:00:00;
2020-06-08 05:00:00;
2020-06-08 06:00:00;
2020-06-08 07:00:00;
2020-06-08 08:00:00;
2020-06-08 09:00:00;
2020-06-08 10:00:00;
2020-06-08 11:00:00;
2020-06-08 12:00:00;
2020-06-08 13:00:00;
2020-06-08 14:00:00;
2020-06-08 15:00:00;
2020-06-08 16:00:00;14.748611111111048
2020-06-08 17:00:00;14.5449999999999
2020-06-08 18:00:00;14.616388888888814
2020-06-08 19:00:00;13.734999999999932
2020-06-08 20:00:00;12.985000000000015
2020-06-08 21:00:00;11.968888888888879
2020-06-08 22:00:00;11.877222222222125
2020-06-08 23:00:00;11.972222222222173
2020-06-09 00:00:00;10.509192200557134
2020-06-09 01:00:00;9.572777777777793
2020-06-09 02:00:00;10.141666666666724
2020-06-09 03:00:00;10.039166666666677
2020-06-09 04:00:00;9.995833333333383
2020-06-09 05:00:00;10.286388888888863
2020-06-09 06:00:00;11.620555555555585
2020-06-09 07:00:00;13.462500000000063
2020-06-09 08:00:00;15.26805555555565
2020-06-09 09:00:00;16.37666666666672
2020-06-09 10:00:00;17.254722222222277
2020-06-09 11:00:00;17.936666666666685
2020-06-09 12:00:00;18.146111111111193
2020-06-09 13:00:00;18.41638888888894
2020-06-09 14:00:00;18.266944444444455
2020-06-09 15:00:00;18.137500000000117
2020-06-09 16:00:00;17.560555555555524
2020-06-09 17:00:00;17.078888888888923
2020-06-09 18:00:00;16.460833333333525
2020-06-09 19:00:00;15.700555555555615
2020-06-09 20:00:00;14.95055555555561
2020-06-09 21:00:00;14.144444444444437
2020-06-09 22:00:00;13.407222222222243
2020-06-09 23:00:00;12.420277777777793
2020-06-10 00:00:00;11.919777158774414
2020-06-10 01:00:00;11.468333333333415
2020-06-10 02:00:00;11.05666666666672
2020-06-10 03:00:00;11.199444444444426
2020-06-10 04:00:00;11.554166666666735
2020-06-10 05:00:00;12.768611111111198
2020-06-10 06:00:00;14.340277777777949
2020-06-10 07:00:00;15.342777777777881
2020-06-10 08:00:00;16.565833333333526
2020-06-10 09:00:00;17.24888888888901
2020-06-10 10:00:00;18.53361111111128
2020-06-10 11:00:00;19.391944444444558
2020-06-10 12:00:00;20.03916666666678
2020-06-10 13:00:00;20.606388888889
2020-06-10 14:00:00;20.562777777777864
2020-06-10 15:00:00;20.470000000000095
2020-06-10 16:00:00;19.95611111111121
2020-06-10 17:00:00;18.800000000000114
2020-06-10 18:00:00;17.63166666666679
2020-06-10 19:00:00;16.550000000000068
2020-06-10 20:00:00;15.694444444444565
2020-06-10 21:00:00;15.449166666666734
2020-06-10 22:00:00;14.54583333333345
2020-06-10 23:00:00;14.33111111111105
2020-06-11 00:00:00;14.41922005571022
2020-06-11 01:00:00;14.258888888888917
2020-06-11 02:00:00;14.196944444444382
2020-06-11 03:00:00;14.00750000000029
2020-06-11 04:00:00;13.473888888888897
2020-06-11 05:00:00;13.676944444444644
2020-06-11 06:00:00;13.99833333333343
2020-06-11 07:00:00;14.229722222222264
2020-06-11 08:00:00;14.60277777777795
2020-06-11 09:00:00;14.738611111111172
2020-06-11 10:00:00;14.835555555555478
2020-06-11 11:00:00;15.155000000000147
2020-06-11 12:00:00;15.533611111111197
2020-06-11 13:00:00;15.680277777777961
2020-06-11 14:00:00;16.262777777777952
2020-06-11 15:00:00;16.748055555555595
2020-06-11 16:00:00;17.182222222222336
2020-06-11 17:00:00;17.44166666666675
2020-06-11 18:00:00;17.04361111111122
2020-06-11 19:00:00;16.41194444444452
2020-06-11 20:00:00;15.900000000000086
2020-06-11 21:00:00;15.0969444444445
2020-06-11 22:00:00;14.790555555555555
2020-06-11 23:00:00;14.651388888889075
2020-06-12 00:00:00;14.600557103064531
2020-06-12 01:00:00;14.415277777777952
2020-06-12 02:00:00;14.012777777777927
2020-06-12 03:00:00;13.999722222222324
2020-06-12 04:00:00;14.107222222222436
2020-06-12 05:00:00;14.551666666666739
2020-06-12 06:00:00;15.513611111111183
2020-06-12 07:00:00;15.97333333333334
2020-06-12 08:00:00;16.35055555555576
2020-06-12 09:00:00;16.88972222222244
2020-06-12 10:00:00;17.988888888888958
2020-06-12 11:00:00;19.46833333333343
2020-06-12 12:00:00;20.54333333333339
2020-06-12 13:00:00;21.982222222222315
2020-06-12 14:00:00;22.94666666666678
2020-06-12 15:00:00;23.311666666666774
2020-06-12 16:00:00;23.473611111111413
2020-06-12 17:00:00;22.863611111111226
2020-06-12 18:00:00;20.75611111111107
2020-06-12 19:00:00;18.99472222222224
2020-06-12 20:00:00;17.35888888888891
2020-06-12 21:00:00;16.171944444444538
2020-06-12 22:00:00;16.347222222222094
2020-06-12 23:00:00;16.364166666666502
2020-06-13 00:00:00;16.391364902506822
2020-06-13 01:00:00;16.163333333333306
2020-06-13 02:00:00;15.831111111110971
2020-06-13 03:00:00;15.628333333333229
2020-06-13 04:00:00;15.271944444444346
2020-06-13 05:00:00;15.278055555555381
2020-06-13 06:00:00;15.826111111111146
2020-06-13 07:00:00;16.49444444444446
2020-06-13 08:00:00;17.088333333333335
2020-06-13 09:00:00;18.445277777777875
2020-06-13 10:00:00;19.406111111111176
2020-06-13 11:00:00;17.662777777778015
2020-06-13 12:00:00;18.060277777777834
2020-06-13 13:00:00;20.043333333333315
2020-06-13 14:00:00;19.965277777777793
2020-06-13 15:00:00;20.081666666666575
2020-06-13 16:00:00;20.04361111111109
2020-06-13 17:00:00;18.649444444444477
2020-06-13 18:00:00;17.97611111111109
